Step,v_fracdone,Temp,Press,Density,PotEng,KinEng,TotEng
3980,0.199,1.0300585,0.027983539,0.033333333,-0.88810576,1.5435426,0.65543686
4000,0.2,1.038602,0.025605396,0.033333333,-0.91073552,1.556345,0.64560951
4020,0.201,1.0251022,0.033512412,0.033333333,-0.89883301,1.5361157,0.63728265
4040,0.202,1.0117878,0.028644882,0.033333333,-0.9005781,1.516164,0.61558593
4060,0.203,0.9963343,0.029728245,0.033333333,-0.90136455,1.493007,0.5916424
4080,0.204,1.002547,0.022681923,0.033333333,-0.91976595,1.5023167,0.58255078
4100,0.205,1.009582,0.031320199,0.033333333,-0.9249219,1.5128587,0.58793679
4120,0.206,0.99218012,0.028617148,0.033333333,-0.90250374,1.4867819,0.58427817
4140,0.207,0.97921547,0.030259484,0.033333333,-0.90229391,1.4673544,0.56506047
4160,0.208,0.98330996,0.027123912,0.033333333,-0.91618193,1.47349,0.55730806
4180,0.209,0.99631772,0.031774732,0.033333333,-0.92541735,1.4929821,0.56756475
4200,0.21,1.0020759,0.028219802,0.033333333,-0.92402302,1.5016107,0.5775877
4220,0.211,0.98924863,0.031398609,0.033333333,-0.91326403,1.4823891,0.56912504
4240,0.212,0.9866082,0.030156494,0.033333333,-0.92212103,1.4784324,0.55631136
4260,0.213,0.97961821,0.025882097,0.033333333,-0.90473998,1.4679579,0.5632179
4280,0.214,0.98102056,0.025623103,0.033333333,-0.88791676,1.4700593,0.58214255
4300,0.215,0.99734083,0.033766462,0.033333333,-0.90614977,1.4945152,0.58836546
4320,0.216,1.0067042,0.030332715,0.033333333,-0.92783825,1.5085462,0.58070797
4340,0.217,1.0123463,0.029010556,0.033333333,-0.93003891,1.5170009,0.58696196
4360,0.218,1.0193436,0.026623321,0.033333333,-0.91511057,1.5274864,0.61237578
4380,0.219,1.0238405,0.032637762,0.033333333,-0.89959452,1.534225,0.63463047
4400,0.22,1.0278583,0.027496147,0.033333333,-0.90443852,1.5402457,0.63580716
4420,0.221,1.0259892,0.030315119,0.033333333,-0.90243473,1.5374448,0.63501009
4440,0.222,1.0403113,0.028651618,0.033333333,-0.90663361,1.5589065,0.65227287
4460,0.223,1.0665739,0.032251559,0.033333333,-0.91688313,1.598261,0.68137784
4480,0.224,1.0606549,0.031081543,0.033333333,-0.90367129,1.5893914,0.68572014
4500,0.225,1.0411653,0.028761251,0.033333333,-0.89120443,1.5601862,0.66898173
4520,0.226,1.0339464,0.026636255,0.033333333,-0.89118072,1.5493687,0.65818794
4540,0.227,1.0442305,0.031220566,0.033333333,-0.90258129,1.5647794,0.66219814
4560,0.228,1.0158536,0.03050863,0.033333333,-0.86640601,1.5222566,0.65585061
4580,0.229,1.0007988,0.029939993,0.033333333,-0.87998197,1.499697,0.61971508
4600,0.23,1.0057844,0.023858876,0.033333333,-0.92648505,1.5071679,0.58068288
4620,0.231,1.01656,0.027470526,0.033333333,-0.9549174,1.5233151,0.56839774
4640,0.232,0.9839999,0.027473103,0.033333333,-0.90076849,1.4745238,0.57375536
4660,0.233,0.98824407,0.027572818,0.033333333,-0.9166149,1.4808837,0.56426884
4680,0.234,0.97845584,0.034913584,0.033333333,-0.92674525,1.4662161,0.53947084
4700,0.235,0.98414369,0.027683893,0.033333333,-0.9443325,1.4747393,0.53040683
4720,0.236,0.96805723,0.026082584,0.033333333,-0.90087622,1.4506338,0.54975754
4740,0.237,0.99056253,0.029903193,0.033333333,-0.9219344,1.484358,0.56242355
4760,0.238,0.98805414,0.022924109,0.033333333,-0.93080696,1.4805991,0.54979217
4780,0.239,0.98575359,0.028917918,0.033333333,-0.94010247,1.4771517,0.53704927
4800,0.24,0.98044919,0.028090412,0.033333333,-0.91273655,1.4692031,0.55646657
4820,0.241,1.0028594,0.024516748,0.033333333,-0.91546462,1.5027848,0.58732018
4840,0.242,1.0155952,0.033106001,0.033333333,-0.93032722,1.5218693,0.59154211
4860,0.243,1.0041465,0.025418038,0.033333333,-0.92824572,1.5047136,0.57646784
4880,0.244,1.0142974,0.026159199,0.033333333,-0.93514543,1.5199247,0.58477924
4900,0.245,1.0388019,0.032932584,0.033333333,-0.93815415,1.5566447,0.6184905
4920,0.246,1.0415142,0.028268295,0.033333333,-0.93032651,1.5607091,0.63038257
4940,0.247,1.0097141,0.031458515,0.033333333,-0.90373492,1.5130565,0.60932159
4960,0.248,0.99697427,0.032414735,0.033333333,-0.89987407,1.4939659,0.59409187
4980,0.249,1.0046443,0.02673693,0.033333333,-0.89074946,1.5054595,0.61471003
5000,0.25,1.0181454,0.029001158,0.033333333,-0.89007225,1.5256909,0.63561861
5020,0.251,1.009884,0.030273499,0.033333333,-0.8956609,1.5133111,0.61765021
5040,0.252,1.0149857,0.023093558,0.033333333,-0.9344726,1.5209561,0.58648348
5060,0.253,1.0041452,0.026488063,0.033333333,-0.91689761,1.5047116,0.58781396
5080,0.254,1.0262236,0.02886265,0.033333333,-0.93256552,1.537796,0.60523052
5100,0.255,1.0261611,0.026547248,0.033333333,-0.94838351,1.5377024,0.58931892
5120,0.256,0.97180202,0.033633265,0.033333333,-0.9128952,1.4562453,0.54335013
5140,0.257,0.96331203,0.031404448,0.033333333,-0.92114597,1.4435231,0.52237711
5160,0.258,0.9742162,0.030093715,0.033333333,-0.9207757,1.459863,0.53908727
5180,0.259,0.97804354,0.028375348,0.033333333,-0.92314713,1.4655982,0.54245111
5200,0.26,0.95487352,0.030369303,0.033333333,-0.91862429,1.430878,0.51225368
5220,0.261,0.95144825,0.031430233,0.033333333,-0.93294722,1.4257452,0.49279799
5240,0.262,0.95690503,0.026438372,0.033333333,-0.92033829,1.4339222,0.5135839
5260,0.263,0.97279611,0.030201155,0.033333333,-0.91455203,1.457735,0.54318294
5280,0.264,0.97662274,0.028452062,0.033333333,-0.92485268,1.4634692,0.5386165
5300,0.265,0.94487927,0.027359523,0.033333333,-0.89124232,1.4159016,0.52465928
5320,0.266,0.96341552,0.028662752,0.033333333,-0.89385566,1.4436782,0.54982249
5340,0.267,1.0023083,0.025441353,0.033333333,-0.90206125,1.5019589,0.59989767
5360,0.268,1.0235933,0.036316738,0.033333333,-0.91854873,1.5338545,0.61530578
5380,0.269,1.0195352,0.022914518,0.033333333,-0.93122766,1.5277736,0.5965459
5400,0.27,0.99502464,0.02851128,0.033333333,-0.89379672,1.4910444,0.59724771
5420,0.271,1.0322823,0.030767419,0.033333333,-0.9167995,1.546875,0.63007548
5440,0.272,1.0248902,0.02487159,0.033333333,-0.89210066,1.535798,0.64369735
5460,0.273,0.9990782,0.034744626,0.033333333,-0.87992805,1.4971187,0.61719064
5480,0.274,0.97768623,0.024805118,0.033333333,-0.86444086,1.4650628,0.60062196
5500,0.275,1.0028027,0.033412017,0.033333333,-0.87897723,1.5026998,0.62372258
5520,0.276,1.0279239,0.02801879,0.033333333,-0.89400371,1.5403439,0.64634023
5540,0.277,1.0083443,0.028969033,0.033333333,-0.88272486,1.5110039,0.62827908
5560,0.278,1.0025363,0.028224099,0.033333333,-0.90372585,1.5023006,0.59857476
5580,0.279,0.99619797,0.031493948,0.033333333,-0.888,1.4928027,0.60480266
5600,0.28,1.0247769,0.031602073,0.033333333,-0.91068565,1.5356282,0.62494256
5620,0.281,0.99669098,0.029547164,0.033333333,-0.88142899,1.4935414,0.61211245
5640,0.282,0.9716206,0.021129343,0.033333333,-0.87915706,1.4559735,0.57681641
5660,0.283,0.98433917,0.032032529,0.033333333,-0.91140759,1.4750323,0.56362466
5680,0.284,0.98777425,0.028507352,0.033333333,-0.90389091,1.4801797,0.5762888
5700,0.285,0.97835096,0.029569925,0.033333333,-0.89518799,1.4660589,0.57087092
5720,0.286,0.9485232,0.026713829,0.033333333,-0.88568379,1.421362,0.53567823
5740,0.287,0.92569337,0.030081859,0.033333333,-0.87459353,1.3871515,0.51255798
5760,0.288,0.933654,0.027736504,0.033333333,-0.87228915,1.3990805,0.52679136
5780,0.289,0.95086009,0.027455694,0.033333333,-0.88535293,1.4248638,0.53951091
5800,0.29,0.94819499,0.026567484,0.033333333,-0.89161303,1.4208702,0.52925716
5820,0.291,0.94894935,0.025170256,0.033333333,-0.89762815,1.4220006,0.52437245
5840,0.292,0.95592773,0.026367658,0.033333333,-0.87291035,1.4324577,0.55954735
5860,0.293,0.99599776,0.032517927,0.033333333,-0.88647027,1.4925026,0.60603237
5880,0.294,1.000315,0.02893646,0.033333333,-0.87802128,1.4989721,0.6209508
5900,0.295,0.98592181,0.032705931,0.033333333,-0.86148434,1.4774038,0.61591949
5920,0.296,0.98690881,0.02635924,0.033333333,-0.84704988,1.4788828,0.63183297
5940,0.297,1.0188127,0.029485924,0.033333333,-0.86590818,1.5266908,0.66078265
